channel,date,is_release,hour,messages
#ubuntu,2013-01-03,False,0,198
#ubuntu,2013-01-03,False,1,210
#ubuntu,2013-01-03,False,2,189
#ubuntu,2013-01-03,False,3,178
#ubuntu,2013-01-03,False,4,184
#ubuntu,2013-01-03,False,5,296
#ubuntu,2013-01-03,False,6,299
#ubuntu,2013-01-03,False,7,304
#ubuntu,2013-01-03,False,8,208
#ubuntu,2013-01-03,False,9,176
#ubuntu,2013-01-03,False,10,190
#ubuntu,2013-01-03,False,11,204
#ubuntu,2013-01-03,False,12,143
#ubuntu,2013-01-03,False,13,195
#ubuntu,2013-01-03,False,14,121
#ubuntu,2013-01-03,False,15,277
#ubuntu,2013-01-03,False,16,161
#ubuntu,2013-01-03,False,17,237
#ubuntu,2013-01-03,False,18,237
#ubuntu,2013-01-03,False,19,259
#ubuntu,2013-01-03,False,20,187
#ubuntu,2013-01-03,False,21,233
#ubuntu,2013-01-03,False,22,293
#ubuntu,2013-01-03,False,23,202
#ubuntu,2013-01-10,False,0,186
#ubuntu,2013-01-10,False,1,124
#ubuntu,2013-01-10,False,2,192
#ubuntu,2013-01-10,False,3,195
#ubuntu,2013-01-10,False,4,249
#ubuntu,2013-01-10,False,5,269
#ubuntu,2013-01-10,False,6,260
#ubuntu,2013-01-10,False,7,294
#ubuntu,2013-01-10,False,8,121
#ubuntu,2013-01-10,False,9,127
#ubuntu,2013-01-10,False,10,227
#ubuntu,2013-01-10,False,11,191
#ubuntu,2013-01-10,False,12,137
#ubuntu,2013-01-10,False,13,146
#ubuntu,2013-01-10,False,14,231
#ubuntu,2013-01-10,False,15,193
#ubuntu,2013-01-10,False,16,244
#ubuntu,2013-01-10,False,17,150
#ubuntu,2013-01-10,False,18,246
#ubuntu,2013-01-10,False,19,301
#ubuntu,2013-01-10,False,20,239
#ubuntu,2013-01-10,False,21,201
#ubuntu,2013-01-10,False,22,243
#ubuntu,2013-01-10,False,23,243
#ubuntu,2013-01-17,False,0,324
#ubuntu,2013-01-17,False,1,246
#ubuntu,2013-01-17,False,2,222
#ubuntu,2013-01-17,False,3,180
#ubuntu,2013-01-17,False,4,147
#ubuntu,2013-01-17,False,5,171
#ubuntu,2013-01-17,False,6,262
#ubuntu,2013-01-17,False,7,112
#ubuntu,2013-01-17,False,8,60
#ubuntu,2013-01-17,False,9,74
#ubuntu,2013-01-17,False,10,163
#ubuntu,2013-01-17,False,11,106
#ubuntu,2013-01-17,False,12,130
#ubuntu,2013-01-17,False,13,201
#ubuntu,2013-01-17,False,14,208
#ubuntu,2013-01-17,False,15,180
#ubuntu,2013-01-17,False,16,220
#ubuntu,2013-01-17,False,17,196
#ubuntu,2013-01-17,False,18,265
#ubuntu,2013-01-17,False,19,206
#ubuntu,2013-01-17,False,20,119
#ubuntu,2013-01-17,False,21,151
#ubuntu,2013-01-17,False,22,193
#ubuntu,2013-01-17,False,23,117
#ubuntu,2013-01-24,False,0,179
#ubuntu,2013-01-24,False,1,232
#ubuntu,2013-01-24,False,2,59
#ubuntu,2013-01-24,False,3,227
#ubuntu,2013-01-24,False,4,136
#ubuntu,2013-01-24,False,5,168
#ubuntu,2013-01-24,False,6,86
#ubuntu,2013-01-24,False,7,127
#ubuntu,2013-01-24,False,8,278
#ubuntu,2013-01-24,False,9,477
#ubuntu,2013-01-24,False,10,226
#ubuntu,2013-01-24,False,11,127
#ubuntu,2013-01-24,False,12,203
#ubuntu,2013-01-24,False,13,274
#ubuntu,2013-01-24,False,14,255
#ubuntu,2013-01-24,False,15,204
#ubuntu,2013-01-24,False,16,241
#ubuntu,2013-01-24,False,17,262
#ubuntu,2013-01-24,False,18,256
#ubuntu,2013-01-24,False,19,179
#ubuntu,2013-01-24,False,20,310
#ubuntu,2013-01-24,False,21,170
#ubuntu,2013-01-24,False,22,158
#ubuntu,2013-01-24,False,23,182
#ubuntu,2013-01-31,False,0,233
#ubuntu,2013-01-31,False,1,117
#ubuntu,2013-01-31,False,2,187
#ubuntu,2013-01-31,False,3,202
#ubuntu,2013-01-31,False,4,253
#ubuntu,2013-01-31,False,5,299
#ubuntu,2013-01-31,False,6,149
#ubuntu,2013-01-31,False,7,106
#ubuntu,2013-01-31,False,8,206
#ubuntu,2013-01-31,False,9,42
#ubuntu,2013-01-31,False,10,120
#ubuntu,2013-01-31,False,11,74
#ubuntu,2013-01-31,False,12,146
#ubuntu,2013-01-31,False,13,144
#ubuntu,2013-01-31,False,14,109
#ubuntu,2013-01-31,False,15,156
#ubuntu,2013-01-31,False,16,148
#ubuntu,2013-01-31,False,17,95
#ubuntu,2013-01-31,False,18,138
#ubuntu,2013-01-31,False,19,127
#ubuntu,2013-01-31,False,20,83
#ubuntu,2013-01-31,False,21,155
#ubuntu,2013-01-31,False,22,191
#ubuntu,2013-01-31,False,23,171
#ubuntu,2013-02-07,False,0,306
#ubuntu,2013-02-07,False,1,359
#ubuntu,2013-02-07,False,2,252
#ubuntu,2013-02-07,False,3,189
#ubuntu,2013-02-07,False,4,328
#ubuntu,2013-02-07,False,5,169
#ubuntu,2013-02-07,False,6,236
#ubuntu,2013-02-07,False,7,120
#ubuntu,2013-02-07,False,8,145
#ubuntu,2013-02-07,False,9,252
#ubuntu,2013-02-07,False,10,414
#ubuntu,2013-02-07,False,11,352
#ubuntu,2013-02-07,False,12,302
#ubuntu,2013-02-07,False,13,145
#ubuntu,2013-02-07,False,14,157
#ubuntu,2013-02-07,False,15,155
#ubuntu,2013-02-07,False,16,150
#ubuntu,2013-02-07,False,17,231
#ubuntu,2013-02-07,False,18,238
#ubuntu,2013-02-07,False,19,99
#ubuntu,2013-02-07,False,20,79
#ubuntu,2013-02-07,False,21,244
#ubuntu,2013-02-07,False,22,205
#ubuntu,2013-02-07,False,23,247
#ubuntu,2013-02-14,False,0,168
#ubuntu,2013-02-14,False,1,123
#ubuntu,2013-02-14,False,2,145
#ubuntu,2013-02-14,False,3,86
#ubuntu,2013-02-14,False,4,195
#ubuntu,2013-02-14,False,5,237
#ubuntu,2013-02-14,False,6,159
#ubuntu,2013-02-14,False,7,131
#ubuntu,2013-02-14,False,8,121
#ubuntu,2013-02-14,False,9,166
#ubuntu,2013-02-14,False,10,128
#ubuntu,2013-02-14,False,11,133
#ubuntu,2013-02-14,False,12,129
#ubuntu,2013-02-14,False,13,204
#ubuntu,2013-02-14,False,14,207
#ubuntu,2013-02-14,False,15,260
#ubuntu,2013-02-14,False,16,209
#ubuntu,2013-02-14,False,17,264
#ubuntu,2013-02-14,False,18,211
#ubuntu,2013-02-14,False,19,145
#ubuntu,2013-02-14,False,20,105
#ubuntu,2013-02-14,False,21,149
#ubuntu,2013-02-14,False,22,244
#ubuntu,2013-02-14,False,23,164
#ubuntu,2013-02-21,False,0,144
#ubuntu,2013-02-21,False,1,270
#ubuntu,2013-02-21,False,2,235
#ubuntu,2013-02-21,False,3,239
#ubuntu,2013-02-21,False,4,278
#ubuntu,2013-02-21,False,5,344
#ubuntu,2013-02-21,False,6,392
#ubuntu,2013-02-21,False,7,200
#ubuntu,2013-02-21,False,8,127
