leeftijd,author,n_words_av,n_berichten,kant,leeftijdsgroep
9,ornate-wolverine,3.4705882352941178,34,partner,9–17 jaar
10,ornate-wolverine,3.8823529411764706,153,partner,9–17 jaar
11,chortling-swan,5.512195121951219,41,partner,9–17 jaar
11,ornate-wolverine,4.104651162790698,86,partner,9–17 jaar
12,chortling-swan,3.764705882352941,323,partner,9–17 jaar
12,ornate-wolverine,4.584415584415584,231,partner,9–17 jaar
12,sprightly-lobster,4.798245614035087,114,partner,9–17 jaar
13,chortling-swan,7.690860215053763,372,partner,9–17 jaar
13,ornate-wolverine,11.98015873015873,252,partner,9–17 jaar
13,sprightly-lobster,5.373702422145329,289,partner,9–17 jaar
14,chortling-swan,7.3478260869565215,138,partner,9–17 jaar
14,ornate-wolverine,8.804054054054054,148,partner,9–17 jaar
14,sprightly-lobster,7.111111111111111,270,partner,9–17 jaar
15,chortling-swan,8.712,125,partner,9–17 jaar
15,sprightly-lobster,7.466666666666667,135,partner,9–17 jaar
16,chortling-swan,9.194444444444445,36,partner,9–17 jaar
16,sprightly-lobster,6.358543417366946,357,partner,9–17 jaar
17,sprightly-lobster,6.796296296296297,108,partner,9–17 jaar
43,cushy-dunlin,11.48,175,partner,43–58 jaar
44,cushy-dunlin,16.137931034482758,58,partner,43–58 jaar
45,cushy-dunlin,12.037593984962406,133,partner,43–58 jaar
46,cushy-dunlin,13.585365853658537,41,partner,43–58 jaar
46,lighthearted-spider,13.901960784313726,102,partner,43–58 jaar
47,cushy-dunlin,18.176943699731904,373,partner,43–58 jaar
47,lighthearted-spider,12.956521739130435,138,partner,43–58 jaar
48,cushy-dunlin,14.930232558139535,43,partner,43–58 jaar
48,lighthearted-spider,20.744444444444444,90,partner,43–58 jaar
49,lighthearted-spider,23.51219512195122,82,partner,43–58 jaar
50,lighthearted-spider,16.94260485651214,453,partner,43–58 jaar
51,lighthearted-spider,19.235537190082646,242,partner,43–58 jaar
55,bedazzling-fly,21.6046511627907,43,partner,43–58 jaar
56,bedazzling-fly,10.768707482993197,147,partner,43–58 jaar
57,bedazzling-fly,11.074866310160427,187,partner,43–58 jaar
58,bedazzling-fly,14.322033898305085,59,partner,43–58 jaar
74,crystalline-meerkat,15.861290322580645,310,partner,74–78 jaar
75,crystalline-meerkat,13.142222222222221,450,partner,74–78 jaar
76,crystalline-meerkat,16.080996884735203,321,partner,74–78 jaar
77,crystalline-meerkat,17.952,375,partner,74–78 jaar
78,crystalline-meerkat,19.581939799331103,299,partner,74–78 jaar
45,kaleidoscopic-rat,11.0711175616836,689,ik,43–58 jaar
46,kaleidoscopic-rat,9.956336528221513,939,ik,43–58 jaar
47,kaleidoscopic-rat,9.185528756957329,1078,ik,43–58 jaar
48,kaleidoscopic-rat,9.948406676783005,1318,ik,43–58 jaar
49,kaleidoscopic-rat,15.378687537627934,1661,ik,43–58 jaar
50,kaleidoscopic-rat,14.840677966101694,590,ik,43–58 jaar
